,isocode,year,month,ons_armedconf12_pred_jut,ons_armedconf12_pred_top,ons_armedconf12_pred_aug
15,BGD,2000,2,0.06454751120053645,0.374819472410619,0.13512889639953732
16,BGR,2000,2,0.03718414106284563,0.09933148806826907,0.03308166918303297
17,BHR,2000,2,0.041816980012566715,0.06336372607371367,0.03334029342741119
18,BHS,2000,2,0.01273047846619896,0.014129831138890797,0.012477020257299225
19,BIH,2000,2,0.0672524673304776,0.2981384580375184,0.12333610574928447
20,BLR,2000,2,0.05437007808527317,0.1290156421818603,0.03788824076265238
21,BLZ,2000,2,0.01273047846619896,0.014076255588671564,0.01001749541453269
22,BOL,2000,2,0.5364395510118013,0.09496320658047641,0.49876438667858775
23,BRA,2000,2,0.17718282523603499,0.059357254355239884,0.14683666292871597
24,BRB,2000,2,0.01273047846619896,0.020126099282419974,0.014031283326318622
25,BRN,2000,2,0.026651311023113924,0.03539627754318904,0.020099927215379156
26,BTN,2000,2,0.10637804590127962,0.11703767722030409,0.10165396261795451
27,BWA,2000,2,0.05869873105689242,0.10566731535047913,0.07336104471491764
28,CAF,2000,2,0.45035865794227553,0.36115018204252236,0.5232675644263574
29,CAN,2000,2,0.28069328169664315,0.0639726403955259,0.18518043067320977
30,CHE,2000,2,0.03765301386708967,0.009926031334286484,0.007833772831159056
31,CHL,2000,2,0.018809790465980667,0.08416535032422932,0.02029359798907003
32,CHN,2000,2,0.030855475404088447,0.0884342779984498,0.023831193527108933
33,CIV,2000,2,0.05532948692466267,0.39537567814396907,0.09849098655595345
34,CMR,2000,2,0.3109301833041841,0.24316284842673366,0.24828581299495522
35,COD,2000,2,0.9523339837710468,0.7134163313279915,0.9183837386931311
36,COG,2000,2,0.8105388284591085,0.4803268819245612,0.8102292482718575
37,COL,2000,2,0.9108068539585279,0.4811657927545764,0.8191369106595013
38,COM,2000,2,0.24462747618433647,0.24525189471356815,0.31061682540144175
39,CPV,2000,2,0.025513418203797416,0.06595297683708358,0.020655725853682135
40,CRI,2000,2,0.04224726476929356,0.02780190879231959,0.01789730970171945
41,CUB,2000,2,0.037171600460341216,0.04684614897622144,0.012092304469422077
42,CYP,2000,2,0.04175436172506898,0.062369171259502344,0.02531003395656776
43,CZE,2000,2,0.06058429868815771,0.03661512661820269,0.012174188315894988
44,DEU,2000,2,0.035626489409569334,0.02355569540190115,0.011924470266517766
45,DJI,2000,2,0.4332773203671364,0.2050665023873074,0.499169481836061
46,DMA,2000,2,0.01273047846619896,0.013470122720267964,0.008187967963010101
47,DNK,2000,2,0.039928670652295925,0.027283302653479866,0.012700490197454398
48,DOM,2000,2,0.03698633239167277,0.050380316874688975,0.020529545249120335
49,DZA,2000,2,0.9128392841691321,0.33033664744269553,0.82635948395231
50,ECU,2000,2,0.0850989086542627,0.2425507124084964,0.062492949837197845
51,EGY,2000,2,0.36262276323936143,0.2375880039561708,0.31449378130971417
52,ERI,2000,2,0.4346065797385144,0.5306558968152689,0.5355158812431791
53,ESP,2000,2,0.05132528699652957,0.3563518611229851,0.11722228218268388
54,EST,2000,2,0.06287274614135394,0.01956155776266921,0.019043639561478292
55,ETH,2000,2,0.9383582766603833,0.6142601673134763,0.8710149410452814
56,FIN,2000,2,0.039928670652295925,0.015018984159676257,0.008490415355140356
57,FJI,2000,2,0.026240180457285957,0.04718494777213385,0.02694980866216369
58,FRA,2000,2,0.03410563016890696,0.034990339018017076,0.015032009774140218
59,FSM,2000,2,0.008679469333683725,,
60,GAB,2000,2,0.04824051176337298,0.07255835708207456,0.04361772781823224
61,GBR,2000,2,0.04623569548731711,0.1388523298509059,0.05023342737719233
62,GEO,2000,2,0.2561628898682421,0.3177514492845121,0.2399195708247765
63,GHA,2000,2,0.0908126878118433,0.12384663914436883,0.08810074390182027
64,GIN,2000,2,0.7461803154753154,0.4440997248178248,0.7410951791495953
65,GMB,2000,2,0.03490708819819716,0.05087903628421489,0.03482233776731593
66,GNB,2000,2,0.40423917102874163,0.2292100659525811,0.5315557091405552
67,GNQ,2000,2,0.041816980012566715,0.10093636736031993,0.04756899850790454
68,GRC,2000,2,0.03707842256107387,0.10314283644180518,0.018661758155123873
69,GRD,2000,2,0.01273047846619896,0.018539397856492612,0.01008744013394018
70,GTM,2000,2,0.15071426874914193,0.2583391818648557,0.1331036241495912
71,GUY,2000,2,0.026240180457285957,0.016556948128489662,0.013156503410227933
72,HND,2000,2,0.4722435501661813,0.09260876700950793,0.4207935576945302
73,HRV,2000,2,0.05818773173173764,0.0875672995935611,0.08365241488607643
74,HTI,2000,2,0.3631795360937426,0.27263722524876155,0.40149364370440577
75,HUN,2000,2,0.03707842256107387,0.09335445154971349,0.029203216172156408
76,IDN,2000,2,0.7576953401208807,0.5577901437285709,0.7384675216923273
77,IND,2000,2,0.6071790342694174,0.33762363624820696,0.5926673008050724
78,IRL,2000,2,0.042574614178204434,0.15695140399778013,0.03826229219712153
79,IRN,2000,2,0.1785967948256538,0.280774989532641,0.2399606282188211
80,IRQ,2000,2,0.7968223125834274,0.35898759262660707,0.7471613644481248
81,ISL,2000,2,0.01273047846619896,0.014789953870614547,0.008319959205287763
82,ISR,2000,2,0.42735706485959896,0.3096281254853568,0.3547814675166743
83,ITA,2000,2,0.024208684025289508,0.03038299434731731,0.011288142226799388
84,JAM,2000,2,0.08583171747940362,0.06371806396926268,0.05195733173818421
85,JOR,2000,2,0.0417743636826284,0.0748767289642485,0.03968723051978522
86,JPN,2000,2,0.03734799518995443,0.04829859188831775,0.011009952147965697
87,KAZ,2000,2,0.054758387747216516,0.057176929824805475,0.028553519237404144
88,KEN,2000,2,0.8422353227434303,0.41523659798663726,0.7708218045150641
89,KGZ,2000,2,0.4143817495519368,0.3250822196246829,0.4762555642040705
90,KHM,2000,2,0.42179539676418887,0.2870775551678396,0.38709407588821
91,KIR,2000,2,0.01273047846619896,0.06176594816579965,0.02648850680622548
92,KNA,2000,2,0.01273047846619896,0.01778679736164643,0.017428224832180258
93,KOR,2000,2,0.037572247681648775,0.06748685682700017,0.013932519289494988
94,KWT,2000,2,0.06901749387339617,0.1173883762689992,0.07701461141398562
95,LAO,2000,2,0.24325168822845492,0.05354974992973,0.23624219975781666
96,LBN,2000,2,0.8076277483589613,0.4668634997049536,0.7727830584545905
97,LBR,2000,2,0.8420674722213758,0.4057588649406169,0.8421550528813843
98,LBY,2000,2,0.039928670652295925,0.202458109835279,0.05354346956190844
99,LCA,2000,2,0.01273047846619896,0.016534783105333527,0.011607952519624912
