,iso_o,year,conflict_stock_idp_pop_0,conflict_stock_idp_pop_1,conflict_stock_idp_pop_2,conflict_stock_idp_pop_3,conflict_stock_idp_pop_4,conflict_idp_pop_0,conflict_idp_pop_1,conflict_idp_pop_2,conflict_idp_pop_3,conflict_idp_pop_4
195,ARM,2020,0,0,1,1,1,0,1,0,0,0
196,ARM,2021,0,0,1,1,1,0,0,0,0,1
197,ARM,2022,0,0,1,1,0,0,0,0,1,1
198,ARM,2023,0,0,0,0,1,0,0,0,0,1
199,ARM,2024,0,0,0,0,1,0,0,0,0,1
200,ABW,2000,0,0,0,0,1,0,0,0,0,1
201,ABW,2001,0,0,0,0,1,0,0,0,0,1
202,ABW,2002,0,0,0,0,1,0,0,0,0,1
203,ABW,2003,0,0,0,0,1,0,0,0,0,1
204,ABW,2004,0,0,0,0,1,0,0,0,0,1
205,ABW,2005,0,0,0,0,1,0,0,0,0,1
206,ABW,2006,0,0,0,0,1,0,0,0,0,1
207,ABW,2007,0,0,0,0,1,0,0,0,0,1
208,ABW,2008,0,0,0,0,1,0,0,0,0,1
209,ABW,2009,0,0,0,0,1,0,0,0,0,1
210,ABW,2010,0,0,0,0,1,0,0,0,0,1
211,ABW,2011,0,0,0,0,1,0,0,0,0,1
212,ABW,2012,0,0,0,0,1,0,0,0,0,1
213,ABW,2013,0,0,0,0,1,0,0,0,0,1
214,ABW,2014,0,0,0,0,1,0,0,0,0,1
215,ABW,2015,0,0,0,0,1,0,0,0,0,1
216,ABW,2016,0,0,0,0,1,0,0,0,0,1
217,ABW,2017,0,0,0,0,1,0,0,0,0,1
218,ABW,2018,0,0,0,0,1,0,0,0,0,1
219,ABW,2019,0,0,0,0,1,0,0,0,0,1
220,ABW,2020,0,0,0,0,1,0,0,0,0,1
221,ABW,2021,0,0,0,0,1,0,0,0,0,1
222,ABW,2022,0,0,0,0,1,0,0,0,0,1
223,ABW,2023,0,0,0,0,1,0,0,0,0,1
224,ABW,2024,0,0,0,0,1,0,0,0,0,1
225,AUS,2000,0,0,0,0,1,0,0,0,0,1
226,AUS,2001,0,0,0,0,1,0,0,0,0,1
227,AUS,2002,0,0,0,0,1,0,0,0,0,1
228,AUS,2003,0,0,0,0,1,0,0,0,0,1
229,AUS,2004,0,0,0,0,1,0,0,0,0,1
230,AUS,2005,0,0,0,0,1,0,0,0,0,1
231,AUS,2006,0,0,0,0,1,0,0,0,0,1
232,AUS,2007,0,0,0,0,1,0,0,0,0,1
233,AUS,2008,0,0,0,0,1,0,0,0,0,1
234,AUS,2009,0,0,0,0,1,0,0,0,0,1
235,AUS,2010,0,0,0,0,1,0,0,0,0,1
236,AUS,2011,0,0,0,0,1,0,0,0,0,1
237,AUS,2012,0,0,0,0,1,0,0,0,0,1
238,AUS,2013,0,0,0,0,1,0,0,0,0,1
239,AUS,2014,0,0,0,0,1,0,0,0,0,1
240,AUS,2015,0,0,0,0,1,0,0,0,0,1
241,AUS,2016,0,0,0,0,1,0,0,0,0,1
242,AUS,2017,0,0,0,0,1,0,0,0,0,1
243,AUS,2018,0,0,0,0,1,0,0,0,0,1
244,AUS,2019,0,0,0,0,1,0,0,0,0,1
245,AUS,2020,0,0,0,0,1,0,0,0,0,1
246,AUS,2021,0,0,0,0,1,0,0,0,0,1
247,AUS,2022,0,0,0,0,1,0,0,0,0,1
248,AUS,2023,0,0,0,0,1,0,0,0,0,1
249,AUS,2024,0,0,0,0,1,0,0,0,0,1
250,AUT,2000,0,0,0,0,1,0,0,0,0,1
251,AUT,2001,0,0,0,0,1,0,0,0,0,1
252,AUT,2002,0,0,0,0,1,0,0,0,0,1
253,AUT,2003,0,0,0,0,1,0,0,0,0,1
254,AUT,2004,0,0,0,0,1,0,0,0,0,1
255,AUT,2005,0,0,0,0,1,0,0,0,0,1
256,AUT,2006,0,0,0,0,1,0,0,0,0,1
257,AUT,2007,0,0,0,0,1,0,0,0,0,1
258,AUT,2008,0,0,0,0,1,0,0,0,0,1
259,AUT,2009,0,0,0,0,1,0,0,0,0,1
260,AUT,2010,0,0,0,0,1,0,0,0,0,1
261,AUT,2011,0,0,0,0,1,0,0,0,0,1
262,AUT,2012,0,0,0,0,1,0,0,0,0,1
263,AUT,2013,0,0,0,0,1,0,0,0,0,1
264,AUT,2014,0,0,0,0,1,0,0,0,0,1
265,AUT,2015,0,0,0,0,1,0,0,0,0,1
266,AUT,2016,0,0,0,0,1,0,0,0,0,1
267,AUT,2017,0,0,0,0,1,0,0,0,0,1
268,AUT,2018,0,0,0,0,1,0,0,0,0,1
269,AUT,2019,0,0,0,0,1,0,0,0,0,1
270,AUT,2020,0,0,0,0,1,0,0,0,0,1
271,AUT,2021,0,0,0,0,1,0,0,0,0,1
272,AUT,2022,0,0,0,0,1,0,0,0,0,1
273,AUT,2023,0,0,0,0,1,0,0,0,0,1
274,AUT,2024,0,0,0,0,1,0,0,0,0,1
275,AZE,2000,0,0,0,0,1,0,0,0,0,1
276,AZE,2001,0,0,0,0,1,0,0,0,0,1
277,AZE,2002,0,0,0,0,1,0,0,0,0,1
278,AZE,2003,0,0,0,0,1,0,0,0,0,1
279,AZE,2004,0,0,0,0,1,0,0,0,0,1
280,AZE,2005,0,0,0,0,1,0,0,0,0,1
281,AZE,2006,0,0,0,0,1,0,0,0,0,1
282,AZE,2007,0,0,0,0,1,0,0,0,0,1
283,AZE,2008,0,0,0,0,1,0,0,0,0,1
284,AZE,2009,0,0,0,1,1,0,0,0,1,0
285,AZE,2010,0,0,0,1,1,0,0,0,1,0
286,AZE,2011,0,0,0,1,1,0,0,0,1,0
287,AZE,2012,0,0,0,1,1,0,0,0,1,0
288,AZE,2013,0,0,0,1,1,0,0,0,1,0
