search_country,search_keyword,topic_title,topic_type,topic_mid
Bangladesh,Cox's Bazar,Cox's Bazar,City in Bangladesh,/m/02vk9mt
Canada,Surrey,Surrey,"City in British Columbia, Canada",/m/017j7y
Mexico,Reynosa,Reynosa,City in Mexico,/m/01gm_j
Germany,Aachen,Aachen,City in Germany,/m/0qjd
Benin,Porto-Novo,Porto-Novo,Capital of Benin,/m/0fs2t
Hungary,Budapest,Budapest,Capital of Hungary,/m/095w_
Germany,Luebeck,Lübeck,City in Germany,/m/04hhb
Guatemala,Villa Nueva,Villa Nueva,City in Guatemala,/m/078z4y
Argentina,Buenos Aires,Buenos Aires,Capital of Argentina,/m/01ly5m
Bulgaria,Plovdiv,Plovdiv,City in Bulgaria,/m/018ym2
Nigeria,Sokoto,Sokoto,City in Nigeria,/m/02mtl6
Ecuador,Loja,Loja,City in Ecuador,/m/041ptn
Pakistan,Lahore,Lahore,City in Pakistan,/m/0xnt5
Iraq,Basrah,Basrah,City in Iraq,/m/0ft0s
Algeria,Algiers,Algiers [El Djazaïr],Capital of Algeria,/m/0rtv
India,Siliguri,Siliguri,City in India,/m/048sbv
Zambia,Kitwe,Kitwe,City in Zambia,/m/04_w13
Syria,Deir ez-Zor,Deir ez-Zur,City in Syria,/m/050tsl
Kazakhstan,Oral,Uralsk,City in Kazakhstan,/m/03gwhx
China,Jinghong,Jinghong,Topic,/m/04mmrx
Nigeria,Mubi,Mubi,Town in Nigeria,/m/03bxm62
Türkiye,Sanliurfa,Şanlıurfa,City in Turkey,/m/01pz6s
Argentina,Formosa,Formosa,City in Argentina,/m/01qsrv
Mauritania,Nouakchott,Nouakchott,Capital of Mauritania,/m/0dlx0
Latvia,Riga,Riga,Capital of Latvia,/m/06cn5
Zambia,Lusaka,Lusaka,Capital of Zambia,/m/0j3vl
Denmark,Arhus,Aarhus,City in Denmark,/m/0lzp
China,Zhuhai,Zhuhai,City in China,/m/01nm71
Oman,Seeb,Seeb,City in Oman,/m/06d2nj
Argentina,Posadas,Posadas,City in Argentina,/m/06gqs2
Tanzania,Mwanza,Mwanza,City in Tanzania,/m/05lj_j
Poland,Gdynia,Gdynia,City in Poland,/m/03b4d
Italy,Trieste,Trieste,City in Italy,/m/0fjsl
Thailand,Samut Prakan,Samut Prakan,City in Thailand,/g/1211wy5y
United Kingdom,Belfast,Belfast,Capital of Northern Ireland,/m/01l63
South Africa,Richards Bay,Richards Bay,City in South Africa,/m/04_9f8
Zimbabwe,Bulawayo,Bulawayo,City in Zimbabwe,/m/01zsfx
Ghana,Kumasi,Kumasi,City in Ghana,/m/025y67
Türkiye,Van,Van,City in Turkey,/m/0h2sy
Afghanistan,Kabul,Kabul,Capital of Afghanistan,/m/0494n
Zimbabwe,Chitungwiza,Chitungwiza,Town in Zimbabwe,/m/05jx6j
Bulgaria,Sofia,Sofia,Capital of Bulgaria,/m/0ftjx
Bulgaria,Varna,Varna,City in Bulgaria,/m/0lxg6
Libya,Tarhuna,Tarhunah,Town in Libya,/m/0262wxz
Bangladesh,Rajshahi,Rajshahi,City in Bangladesh,/m/04v076
Panama,San Miguelito,San Miguelito,City in Panama,/m/06d5h0
Mexico,Merida,Mérida,City in Mexico,/m/0hyqj
Cameroon,Ngaoundere,Ngaoundere,City in Cameroon,/m/05r_bk
France,Nice,Nice,City in France,/m/0cp6w
Vietnam,Thai Nguyen,Thái Nguyên,City in Vietnam,/m/07m24w
Moldova,Chisinau,Chișinău,Capital of Moldova,/m/0fn77
Brazil,Porto Velho,Porto Velho,City in Brazil,/m/01zhjx
Burundi,Bujumbura,Bujumbura,City in Burundi,/m/0fn67
Belgium,Antwerpen,Antwerp,City in Belgium,/m/0fydw
Islamic Republic of Iran,Abadan,Abadan,City in Iran,/m/0vck
India,Ganganagar,Sri Ganganagar,City in India,/m/07xm5n
Venezuela,Ciudad Bolivar,Ciudad Bolívar,City in Venezuela,/m/03518q
Bolivia,Santa Cruz de la Sierra,Santa Cruz de la Sierra,City in Bolivia,/m/031v35
Netherlands,Groningen,Groningen,City in the Netherlands,/m/0d8s8
Belarus,Minsk,Minsk,Capital of Belarus,/m/0dlxj
Burkina Faso,Bobo-Dioulasso,Bobo-Dioulasso,City in Burkina Faso,/m/02752b
Saudi Arabia,Buraydah,Riyadh,Capital of Saudi Arabia,/m/0dlm_
Kazakhstan,Almaty,Almaty,City in Kazakhstan,/m/0151s1
Israel,Jerusalem,Jerusalem,Capital of Israel,/m/0430_
Nigeria,Maiduguri,Maiduguri,City in Nigeria,/m/06plf6
Honduras,La Ceiba,La Ceiba,Municipality in Honduras,/m/03sh8n
Türkiye,Erzurum,Erzurum,City in Turkey,/m/03v2jb
Angola,Lobito,Lobito,Municipality in Angola,/m/03xrf_
